catalog,Taxon_Upham_style,Genus_species,Sex,TotL,Tail,mass_g,Fl,Fdw,Fsw,Tl,Tpw,Tmw,Hl,Hdw,Hpw,Hsw,Ul,Uol,Rl,Mcl,Ppl,Mtl,Pppl,MANUS,HRI,HPI,HEB,OLI,BI,IM,PRTI,FRI,FEB,CI,TRI,PES,log_Mass,pred_data,Mass_grams,Mass_source,Loc_mode_Categorical,Loc_mode_Ordinal,Loc_Ord,Loc_Ord2,Loc_mode_Binary,Loc_bin,Loc_mode_source
UF16909,Ochrotomys_nuttalli_CRICETIDAE_RODENTIA,Ochrotomys_nuttalli,M,161,72,16,-1.0861279305935891,-1.0477673179515004,-1.0732254217836286,NA,-1.0896591143496002,-1.204505857657688,-0.9795714979741259,-0.9749138054441053,-1.1296341778277523,-1.0362767169659473,-0.9601175642441111,-0.9681344524796172,-0.9540673691809959,-0.9611621777476504,-1.0011711186032861,-0.8649734074426431,-0.83731877044811,-0.14408838764834048,-0.38050909895976176,-0.227065056544899,-0.18794301126073742,-0.23974326486048772,0.40797863825865827,NA,-0.18046423327277383,-0.22500038556175678,-0.09215092333629844,NA,NA,-0.14108230795751878,-1.1343613904190133,T,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF16911,Ochrotomys_nuttalli_CRICETIDAE_RODENTIA,Ochrotomys_nuttalli,M,NA,NA,17.6,-0.9834748556411851,-1.062396545156876,-0.9222024533973787,NA,-1.1214932453747792,-1.0785066900712823,-0.9329256800724437,-1.0044072111258466,-1.144939954535876,-0.8948043744082631,-0.9556834127266723,-1.0884891868595294,-0.9097229278103266,-0.9535117977248726,-0.8611012344706772,-0.9798157302251378,NA,0.2397365694296661,-0.17931951985324843,-0.34427002181698535,-0.34408965749119286,-0.4662564213644478,0.3820350182118563,NA,-0.26946116542198306,-0.05837006065715118,-0.5110988878566177,NA,NA,NA,-1.0883461443319828,T,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF16912,Ochrotomys_nuttalli_CRICETIDAE_RODENTIA,Ochrotomys_nuttalli,F,NA,NA,NA,-0.7715617528740278,-0.7971645690853499,-0.6158920844108852,-0.7896761704502026,-0.8169688346256785,-0.8222477149591775,-0.8306136931813968,-0.7998363792431021,-1.00882402655123,-0.88270912484428,-0.8133773090262013,-0.7905123433275639,-0.7749714780325254,NA,-0.8154977285936635,-0.5703078201670456,-0.7711663736282791,NA,-0.34732367018242033,-0.26439070505021744,-0.11743606476218188,-0.16720045678153955,0.5381738782487239,-0.4816216099692513,NA,0.2894324414837111,-0.29114694989557843,0.4877818381284484,-0.6431091766397531,-0.565340314763957,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF17076,Ochrotomys_nuttalli_CRICETIDAE_RODENTIA,Ochrotomys_nuttalli,F,168,78,17.6,-1.0068831031089676,-1.05750181510235,-1.0063121578541425,NA,-1.1123134033376698,-1.1399106653927276,-0.9925777705170824,-0.9624764565485597,-1.0946260828109684,-0.9444011178813025,-0.9372089503586637,-1.0164113006589386,-0.8870372276159595,-0.9573315542204138,-0.9695034743824644,-0.9376319916912534,-0.9740403138367518,-0.06662146058526844,-0.1683391644460406,-0.12921312711087873,-0.13350476082683682,-0.36980307700202414,0.8777481988024063,NA,-0.23691217377005386,-0.25085776319481135,-0.4131486617713116,NA,NA,-0.27607209212129347,-1.0883461443319828,T,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF17197,Ochrotomys_nuttalli_CRICETIDAE_RODENTIA,Ochrotomys_nuttalli,F,157,75,14.6,-1.172301232638908,-1.112385373216769,-1.2314236369035794,-1.1531674687074995,-1.343004585808173,-1.2211930581127814,-1.101399638281736,-1.056583949461558,-1.1813918788847722,-1.2273855227642902,-1.0594196969963459,-1.103374080221314,-1.0221744963689048,-0.9650037303154478,-0.9508419503431259,-1.0116723115884714,-1.09576312964895,0.009297711980036222,-0.5309631331006162,-0.09735594640206947,-0.11071763022301635,-0.315638928888582,0.7530484991767384,0.15190552242828867,0.044088615054817086,-0.45129572457841655,-0.020485195281824686,0.8767467196881688,-0.8685040271871219,-0.37382453833976564,-1.1785695427089848,T,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF17198,Ochrotomys_nuttalli_CRICETIDAE_RODENTIA,Ochrotomys_nuttalli,F,183,82,23,-0.9221490850027758,-0.976993971137077,-0.8337388797478759,-0.9827030418606572,-1.0029970106332176,-1.0343655643696188,-0.852034785605153,-0.9020200498542879,-1.0799147189170455,-0.8471156778631579,-0.9120834369247761,-0.9681344524796172,-0.8839716768552486,-0.9383402201767564,-0.9947798796786359,-0.9464151364644101,-1.0171380002794306,-0.19164696408534954,-0.23509183246597018,-0.36479834320322513,-0.29295065378564283,-0.32549276780959835,0.055475609030685887,0.09853722946879166,-0.35690379113649695,0.038790716922441536,-0.41747262601247775,0.3519098170171595,-0.765545537938216,-0.3440888393554867,-0.9591525550906617,T,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF17214,Ochrotomys_nuttalli_CRICETIDAE_RODENTIA,Ochrotomys_nuttalli,M,157,70,NA,-1.0824229817539741,-0.9678421777290552,-1.0732254217836286,NA,-1.028360654045032,-1.204505857657688,-0.9991281836533653,-0.909919752541883,-1.070201508576048,-1.0362767169659473,-0.9779932171081953,-0.9546496474075808,-0.9605171291383263,-0.8938249837436021,-0.9202831102358892,-0.9442145443114691,-0.9846960407150395,-0.11336567090269549,-0.34507645417555716,-0.06386047134173216,-7.052433994331325e-4,-0.18098006162918603,0.48797890230135677,NA,0.022480665205923244,-0.23576660722107373,0.2106857337993653,NA,NA,-0.2845694845928391,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF17196,Ochrotomys_nuttalli_CRICETIDAE_RODENTIA,Ochrotomys_nuttalli,F,152,71,13.3,-1.1962427823368222,-1.097185793009853,-1.2444411420656036,-1.1937780634255117,-1.1732447563409243,-1.1399106653927276,-1.1336548674806852,-1.0744538496967972,-1.2408882040797207,-1.1959976881161953,-1.0785919426065131,-1.1108779790171783,-1.0563432301363653,-0.9961372158934421,-1.007591742637778,-1.0489244125540316,-1.107349127771538,-0.06051758772384618,-0.4160446151240546,-0.15937651496793015,-0.0814996197255174,-0.29563263606677775,0.7511040405982765,0.19417146624575612,0.047220124149040435,-0.42305710377671557,0.13128798633108305,0.8023892606715127,-0.5879966477122626,-0.326279590626553,-1.2235937627981177,T,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF26041,Ochrotomys_nuttalli_CRICETIDAE_RODENTIA,Ochrotomys_nuttalli,F,179,82,19,-0.9090727006255899,-1.033300942668704,-0.9324193460620797,-0.9431651489115416,-1.094156717620096,-1.0489058209757853,-0.8364221932923376,-0.9298823543846986,-1.119532435008455,-0.9571166472634532,-0.8950096421275676,-1.05919872063115,-0.8387670149241772,-0.8974788890026627,-0.8963085597377142,-0.890219334612182,-1.0785547405921134,-0.035085533811919194,-0.48076297589909545,-0.46705601893374776,-0.3807267641404673,-0.5154009039990574,0.21301683894118212,0.040878629567113196,-0.33003784483666593,-0.3086584569030809,-0.6591473975319412,0.4753789692008631,-0.8781062157758646,-0.5605834545762874,-1.0513930036335255,T,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF16910,Ochrotomys_nuttalli_CRICETIDAE_RODENTIA,Ochrotomys_nuttalli,M,170,86,22.1,-1.0531444525353024,-1.05750181510235,-0.9427183030005624,NA,-1.0674145095407472,-1.0785066900712823,-1.0046112370396179,-1.0172557186830369,-1.15524785763872,-0.9571166472634532,-0.9556834127266723,-1.1108779790171783,-0.9254013779998126,-0.9383402201767564,NA,-0.9288997639854116,NA,NA,-0.171891799592954,-0.23154275271887484,-0.22731068211589495,-0.5048110014910399,0.7249507163720538,NA,-0.12899755934052085,0.09019842951665988,-0.24958911021651997,NA,NA,NA,-0.9784240800892692,T,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF31473,Ochrotomys_nuttalli_CRICETIDAE_RODENTIA,Ochrotomys_nuttalli,M,147,72,12.2,-1.1151919460725905,-0.9542342073881441,-1.0063121578541425,-1.11603156253486,-1.054258307938033,-1.0785066900712823,-1.0346106633157917,-0.9258651504630958,-1.1095108655962471,-1.0227273662901457,-0.9942749779748641,-0.9886153525067048,-0.9844206762902779,-0.8974788890026627,-0.9202831102358892,-0.8796487294020663,-0.9582011555515942,-0.10277240103276686,-0.25166097799285675,-0.07710716781556069,0.04135896733151407,-0.21659769983087582,0.5644731001679366,0.26926786861090796,0.08892122009057653,0.07515695167929282,0.39855681972951773,0.7445154291762087,-0.5979452848032122,-0.3552792473568383,-1.2652725007262215,T,NA,NA,NA,NA,NA,NA,NA,NA,NA
UF31474,Ochrotomys_nuttalli_CRICETIDAE_RODENTIA,Ochrotomys_nuttalli,M,135,65,11.6,-1.2454409191719846,-1.062396545156876,-1.0732254217836286,-1.21323148548589,-1.1400610413018342,-1.2211930581127814,-1.1679389184713578,-0.9916848775302233,-1.2027039648469993,-1.1355099236796455,-1.113764619032712,-1.1413139760193547,-1.1044145254536135,-0.9961372158934421,-1.0270326589400678,-0.973076099022916,-1.0785547405921134,-0.1151420770599681,-0.23174638582831103,-0.008444052065450744,0.19024325899453015,-0.2898084330373419,0.6799856167500137,0.17993723686379592,0.15463959125269028,0.26709767081606306,0.4727799279226783,0.9830600716829733,-0.7490403549683783,-0.4123968221753456,-1.2896202476802687,T,NA,NA,NA,NA,NA,NA,NA,NA,NA
