catalog,Taxon_Upham_style,Genus_species,Sex,TotL,Tail,mass_g,Fl,Fdw,Fsw,Tl,Tpw,Tmw,Hl,Hdw,Hpw,Hsw,Ul,Uol,Rl,Mcl,Ppl,Mtl,Pppl,MANUS,HRI,HPI,HEB,OLI,BI,IM,PRTI,FRI,FEB,CI,TRI,PES,log_Mass,pred_data,Mass_grams,Mass_source,Loc_mode_Categorical,Loc_mode_Ordinal,Loc_Ord,Loc_Ord2,Loc_mode_Binary,Loc_bin,Loc_mode_source
UF16909,Ochrotomys_nuttalli_CRICETIDAE_RODENTIA,Ochrotomys_nuttalli,M,161,72,16,-1.141197026,-1.105231078,-1.126237219,NA,-1.178884046,-1.249243039,-1.0349653,-1.030691492,-1.228749346,-1.097798659,-1.01076094,-1.024069942,-0.999430658,-1.004690026,-1.05186486,-0.901528663,-0.901899571,-0.157291476,-0.390530566,-0.232794603,-0.193651415,-0.246615358,0.417525558,NA,-0.176814296,-0.22471702,-0.105126028,NA,NA,-0.178636593,-1.192617698,T,NA,NA,NA,NA,NA,NA,NA,1,NA
UF16911,Ochrotomys_nuttalli_CRICETIDAE_RODENTIA,Ochrotomys_nuttalli,M,NA,NA,17.6,-1.038140061,-1.119934827,-0.974876456,NA,-1.211073687,-1.122768734,-0.988160297,-1.06029319,-1.244301977,-0.955375099,-1.006315175,-1.145005344,-0.955048962,-0.997059642,-0.911455319,-1.015070596,NA,0.219093979,-0.193411102,-0.346369315,-0.346259052,-0.468474501,0.392023269,NA,-0.263887905,-0.061690004,-0.516479155,NA,NA,NA,-1.146109984,T,NA,NA,NA,NA,NA,NA,NA,1,NA
UF16912,Ochrotomys_nuttalli_CRICETIDAE_RODENTIA,Ochrotomys_nuttalli,F,NA,NA,NA,-0.825393183,-0.853351755,-0.667880959,-0.827244778,-0.903148485,-0.865543418,-0.885499157,-0.854971228,-1.105990744,-0.943198524,-0.863636358,-0.845590872,-0.820184304,NA,-0.865741229,-0.61019965,-0.835602029,NA,-0.358016486,-0.268964144,-0.124742484,-0.175563038,0.545506029,-0.476746627,NA,0.27859142,-0.300514584,0.495883833,-0.660261598,-0.596034074,NA,T,NA,NA,NA,NA,NA,NA,NA,1,NA
UF17076,Ochrotomys_nuttalli_CRICETIDAE_RODENTIA,Ochrotomys_nuttalli,F,168,78,17.6,-1.061640409,-1.115015163,-1.059174289,NA,-1.201791328,-1.184404261,-1.048015958,-1.018208476,-1.193176633,-1.005305316,-0.987792326,-1.072579709,-0.932344203,-1.000869414,-1.020120424,-0.973364515,-1.038921095,-0.081326055,-0.182652882,-0.137973495,-0.140446988,-0.374002919,0.879303804,NA,-0.232042333,-0.250015243,-0.420304606,NA,NA,-0.311443505,-1.146109984,T,NA,NA,NA,NA,NA,NA,NA,1,NA
UF17197,Ochrotomys_nuttalli_CRICETIDAE_RODENTIA,Ochrotomys_nuttalli,F,157,75,14.6,-1.227709379,-1.170178299,-1.284789278,-1.191574694,-1.435058765,-1.265993166,-1.157209195,-1.112661507,-1.281341806,-1.290192424,-1.110323155,-1.159962052,-1.067595004,-1.008521538,-1.001413648,-1.046566457,-1.160910983,-0.006878388,-0.537940878,-0.107103044,-0.11817632,-0.320951645,0.756725388,0.147514595,0.042885712,-0.44611882,-0.034759482,0.880053445,-0.883722731,-0.407615232,-1.237298978,T,NA,NA,NA,NA,NA,NA,NA,1,NA
UF17198,Ochrotomys_nuttalli_CRICETIDAE_RODENTIA,Ochrotomys_nuttalli,F,183,82,23,-0.976573003,-1.034097211,-0.886215015,-1.020716985,-1.09125414,-1.078461154,-0.906993352,-0.95753009,-1.178228002,-0.907365757,-0.962601007,-1.024069942,-0.929276077,-0.981927717,-1.045458123,-0.982048206,-1.082113342,-0.203928247,-0.248055127,-0.366261801,-0.296279096,-0.330603024,0.071019007,0.094926862,-0.349440797,0.033369714,-0.424550184,0.361686881,-0.781647547,-0.378360378,-1.01553373,T,NA,NA,NA,NA,NA,NA,NA,1,NA
UF17214,Ochrotomys_nuttalli_CRICETIDAE_RODENTIA,Ochrotomys_nuttalli,M,157,70,NA,-1.1374775,-1.024898798,-1.126237219,NA,-1.116901033,-1.249243039,-1.054588725,-0.965458798,-1.168358135,-1.097798659,-1.028683411,-1.010520078,-1.005885837,-0.937528829,-0.970780705,-0.979872532,-1.049600202,-0.127164244,-0.355814732,-0.074645043,-0.010657325,-0.189059523,0.496164927,NA,0.021744734,-0.235250427,0.192220698,NA,NA,-0.31980349,NA,T,NA,NA,NA,NA,NA,NA,NA,1,NA
UF17196,Ochrotomys_nuttalli_CRICETIDAE_RODENTIA,Ochrotomys_nuttalli,F,152,71,13.3,-1.251745127,-1.154901292,-1.297835899,-1.232278982,-1.263403135,-1.184404261,-1.189574499,-1.130597021,-1.3417977,-1.258593547,-1.129545614,-1.167502154,-1.101792444,-1.039573651,-1.058301053,-1.083396743,-1.172522402,-0.07534049,-0.42534719,-0.167202616,-0.089620525,-0.301356408,0.754814007,0.189162361,0.045949546,-0.418490847,0.114262301,0.806612686,-0.605621893,-0.360839116,-1.28280506,T,NA,NA,NA,NA,NA,NA,NA,1,NA
UF26041,Ochrotomys_nuttalli_CRICETIDAE_RODENTIA,Ochrotomys_nuttalli,F,179,82,19,-0.96344517,-1.090691011,-0.985116201,-0.981087874,-1.183431877,-1.093056241,-0.89132748,-0.985494697,-1.21848468,-1.018106341,-0.945482494,-1.115573562,-0.884033437,-0.941173184,-0.946748019,-0.926488724,-1.143664837,-0.050401374,-0.488756282,-0.465352194,-0.382065792,-0.516609245,0.225880281,0.038111571,-0.323155454,-0.306566022,-0.661843789,0.483633871,-0.89324254,-0.591354135,-1.108761361,T,NA,NA,NA,NA,NA,NA,NA,1,NA
UF16910,Ochrotomys_nuttalli_CRICETIDAE_RODENTIA,Ochrotomys_nuttalli,M,170,86,22.1,-1.108083774,-1.115015163,-0.995438193,NA,-1.156391024,-1.122768734,-1.06009049,-1.073188874,-1.254776128,-1.018106341,-1.006315175,-1.167502154,-0.970740584,-0.981927717,NA,-0.964731165,NA,NA,-0.186133646,-0.237133609,-0.232126831,-0.506236926,0.72910558,NA,-0.126459875,0.083665757,-0.25971012,NA,NA,NA,-1.035011504,T,NA,NA,NA,NA,NA,NA,NA,1,NA
