Order,Family,Genus,species,Genus_species,Taxon_Upham_style,Specimen_Num,Mass_grams,Mass_source,Loc_mode_Categorical,Loc_mode_Ordinal,Loc_mode_Binary,Loc_mode_source,Skl,Jl,Sl,Sh,Hl,Hsw,Hdw,Hpw,Hhw,Hdcw,Hhl,Uol,Ul,Rl,Pel,Il,Isl,Fl,Fhd,Fgh,Fsw,Fdw,Tpw,Tl,Tmw,Tdw,Fbl,Fbmw,Fbpw,Fbdw,Csw,Ccw,Cl,Ctl,Ctw,Cal,Anl,Al,Atw,Mcl,Mcw,Ppl,Ppw,Ipl,Ipw,Dpl,Dpw,Mtl,Mtw,Pppl,Pppw,Pipl,Pipw,Pdpl,Pdpw,NOTES
Afrosoricida,Chrysochloridae,Amblysomus,hottentotus,Amblysomus_hottentotus,Amblysomus_hottentotus_CHRYSOCHLORIDAE_AFROSORICIDA,NMNH 344221,62.6,PanTheria,F,Ss,Ground,ADW,26.9,17.75,17.94,6.18,12.75,2.88,11.74,4.99,1.74,1.13,3.64,6.92,17.4,9.3,19.88,11.78,6.8,14.69,2.35,0.52,2.19,4.16,3.68,14.75,0.95,1.49,14.67,0.93,2.69,1.73,0.9,1.83,4.31,2.56,1.36,1.24,1.35,2.35,1.78,0.93,1.65,1.02,2.55,3.23,2.43,8.68,2.38,,,3.57,1.26,2.18,1.13,5.2,0.69,
Afrosoricida,Tenrecidae,Echinops,telfairi,Echinops_telfairi,Echinops_telfairi_TENRECIDAE_AFROSORICIDA,UWBM 34168,152.25,PanTheria,Sc,Sc,Tree,Salton & Sargis 2008,33.5,26.45,17.28,8.22,19.54,1.61,5.52,4.43,3.03,0.73,3.28,3.77,21.69,16.39,20.82,12.98,5.87,21.87,3.2,1.06,2.08,4.35,4.09,20.94,1.17,2.65,19.05,0.69,2.45,1.41,1.01,1.14,4.44,2.66,1.16,1.47,1.28,2.52,1.84,6.54,0.65,3.51,0.65,2.12,0.59,2.21,0.55,6.77,0.63,3.23,0.65,2.2,0.54,2.25,0.59,
Afrosoricida,Tenrecidae,Hemicentetes,semispinosus,Hemicentetes_semispinosus,Hemicentetes_semispinosus_TENRECIDAE_AFROSORICIDA,NMNH 354999,134,PanTheria,Sf,Is,Ground,Salton & Sargis 2008,37.59,29.63,17.75,7.92,18.95,2.17,7.46,5.52,3.15,0.87,3.64,4.65,22.31,16.96,19,12.71,5.77,19.17,2.94,1.05,1.83,5.16,4.47,22.31,1.16,3.48,20.32,0.65,2.16,1.92,0.9,1.98,4.8,1.68,1.43,1.65,1.18,3.08,2.58,7.54,0.9,3.74,1,2.75,1.06,3.71,0.85,7.41,0.89,3.9,0.98,3.1,1.04,4.32,0.77,
Afrosoricida,Tenrecidae,Microgale,talazaci,Microgale_talazaci,Microgale_talazaci_TENRECIDAE_AFROSORICIDA,NMNH 577056,43.07,PanTheria,T,T,Ground,Salton & Sargis 2008,35.18,25.77,13.5,6.81,17.53,1.26,4.32,3.5,2.5,0.34,2.14,2.82,20.29,16.58,20.41,11.96,7.92,18.22,1.8,1.65,1.41,3.59,3.37,20.04,1.36,2.05,18.92,0.46,2.34,2.03,0.96,1.36,4.72,1.21,1.14,2.2,1.7,3.07,2.11,6.3,0.61,3.51,0.54,2.01,0.47,1.67,0.34,9.61,0.63,3.83,0.51,2.43,0.42,2.26,0.54,
Afrosoricida,Tenrecidae,Echinops,telfairi,Echinops_telfairi,Echinops_telfairi_TENRECIDAE_AFROSORICIDA,NMNH 588477,152.25,PanTheria,Sc,Sc,Tree,Salton & Sargis 2008,,,23.515,12.775,31.27,2.51,6.485,7.045,5.23,0,4.025,5.26,35.755,28.295,35.745,23.67,10.37,32.075,3.9,2.37,3.67,6.495,6.155,35.71,2.35,3.36,34.19,0.755,3.445,3.11,1.47,1.645,6.98,2.895,2.035,2.41,1.09,4.115,2.925,8.575,1.125,2.225,1.4,1.96,1.365,2.695,0.895,,,,,,,,,Note from Meng: tibia and fibula are fused at the mid shaft
Afrosoricida,Tenrecidae,Echinops,telfairi,Echinops_telfairi,Echinops_telfairi_TENRECIDAE_AFROSORICIDA,NMNH 464980,152.25,PanTheria,Sc,Sc,Tree,Salton & Sargis 2008,,,16.71,8.525,19.39,2.29,5.725,4.385,3.36,0.66,3.44,3.32,20.395,15.92,19.055,12.635,6.07,20.01,3.21,0.465,2.09,4.65,4.205,19.62,1.38,3.05,17.95,0.67,2.305,1.81,1.095,1.575,4.015,1.83,1.195,1.1,1.135,2.695,2.22,6.81,0.69,3.69,0.665,2.39,0.665,2.42,0.405,,,,,,,,,
Carnivora,Ailuridae,Ailurus,fulgens,Ailurus_fulgens,Ailurus_fulgens_AILURIDAE_CARNIVORA,UWBM 82481,5170.08,PanTheria,A,A,Tree,ADW,,,71.78,58.96,119.36,9.38,29.25,21.93,,,,13.36,114.91,94.22,96.82,61.22,34.23,128.23,,,10.05,23.39,25.85,118.76,7,,110.29,,,,,,,,,,,,,31.11,4.17,22,4.5,14.74,,,,,,,,,,,,
Carnivora,Viverridae,Arctictis,binturong,Arctictis_binturong,Arctictis_binturong_VIVERRIDAE_CARNIVORA,UWBM 81977,12999.99,PanTheria,A,A,Tree,ADW,128.4,,87.7,67.56,148.45,12.28,37.25,27.76,21.2,2.11,21.07,19.45,137.49,112.35,131.87,72.81,52.89,149.39,18.15,12.18,13.5,31.58,31.56,133.89,9.43,21.96,122.96,3.69,16.39,11.25,8.48,9.4,38.46,22.77,12,18.17,9.53,22.96,13.48,33.36,4.13,,,,,,,37.18,4.65,20.51,5.25,,,,,
Carnivora,Procyonidae,Bassariscus,astutus,Bassariscus_astutus,Bassariscus_astutus_PROCYONIDAE_CARNIVORA,UWBM 34132,885,UWBM specimen label,A,A,Tree,ADW,,,41.25,23.72,62.23,4.22,12.61,11.16,7.86,0.55,9.92,5.41,59.66,50.05,54.87,30.51,20.48,67.29,7.33,6.34,5.67,12.61,12.95,67.37,4.13,9.36,63.34,2.33,5.97,5.31,3.48,3.82,15.36,10.12,4.23,4.97,5.82,10.35,5.09,25.87,2.26,10.45,2.02,8.77,1.6,7.15,1.61,,,,,,,,,
Carnivora,Canidae,Canis,lupus,Canis_lupus,Canis_lupus_CANIDAE_CARNIVORA,UWBM 82006,31756.51,PanTheria,T,T,Ground,ADW,270.1,201.72,184.11,93.93,228.07,16.38,47.35,40.31,,,,29.05,271.86,230.34,197.5,119.77,77.45,249.36,,,17.88,45.79,50.03,258.71,17.37,,240.7,,12.46,,,,63.75,,,,,,,105.41,10.39,40.05,7.6,27.66,,,,116.3,10.65,40.71,7.39,28.6,,,,
