Order,Family,Genus,species,Genus_species,Taxon_Upham_style,Specimen_Number,Mass_grams,Loc_Ord,Loc_Ord2,Loc_bin,log_Mass,Sl,Hl,Hsw,Hdw,Uol,Ul,Rl,Fl,Fsw,Fdw,Tl,Tmw,Ppl,Ipl,Pipl,HPI,OLI,MANUS,MANUS2,PES,PES2,Fos
Afrosoricida,Chrysochloridae,Amblysomus,hottentotus,Amblysomus_hottentotus,Amblysomus_hottentotus_CHRYSOCHLORIDAE_AFROSORICIDA,NMNH 344221,62.6,Ss,B,0,4.136765278106052,2.88703285663065,2.545531271604435,1.0577902941478545,2.4630018143999504,1.9344157696295783,2.856470206220483,2.2300144001592104,2.6871669901857858,0.7839015438284094,1.425515074273172,2.691243082785829,-0.05129329438755058,0.01980262729617973,1.172482137234565,0.7793248768009977,0.3913725490196079,0.3977011494252874,1.096774193548387,4.569892473118279,NA,NA,FALSE
Afrosoricida,Tenrecidae,Echinops,telfairi,Echinops_telfairi,Echinops_telfairi_TENRECIDAE_AFROSORICIDA,UWBM 34168,152.25,Sc,Sc,1,5.025523906590006,2.8495497633759097,2.972463646614637,0.4762341789963717,1.7083778602890038,1.3270750014599193,3.076851324838783,2.7966713927557385,3.0851158346886765,0.7323678937132266,1.4701758451005926,3.041661205442391,0.1570037488096647,1.2556160374777743,0.7514160886839212,0.7884573603642703,0.22671443193449334,0.17381281696634393,0.536697247706422,0.8608562691131498,0.4771048744460857,0.8020679468242246,FALSE
Afrosoricida,Tenrecidae,Hemicentetes,semispinosus,Hemicentetes_semispinosus,Hemicentetes_semispinosus_TENRECIDAE_AFROSORICIDA,NMNH 354999,134,Is,B,0,4.897839799950911,2.8763855159214247,2.9418039315284354,0.7747271675523681,2.0095554142156695,1.536867219599265,3.105035008444441,2.830857630363757,2.9533465570575532,0.6043159668533296,1.6409365794934714,3.105035008444441,0.14842000511827322,1.3190856114264407,1.0116009116784799,1.1314021114911006,0.2912928759894459,0.20842671447781266,0.49602122015915123,0.8607427055702918,0.5263157894736842,0.9446693657219973,FALSE
Afrosoricida,Tenrecidae,Microgale,talazaci,Microgale_talazaci,Microgale_talazaci_TENRECIDAE_AFROSORICIDA,NMNH 577056,43.07,T,T,0,3.7628266990660193,2.6026896854443837,2.863913698933143,0.23111172096338664,1.463255402256019,1.0367368849500223,3.0101281538377234,2.8081971497071487,2.9025198918318122,0.34358970439007686,1.2781522025001875,2.997730276216664,0.3074846997479607,1.2556160374777743,0.6981347220709843,0.8878912573524571,0.19965772960638903,0.1389847215377033,0.5571428571428572,0.8761904761904762,0.3985431841831426,0.6514047866805411,FALSE
Afrosoricida,Tenrecidae,Echinops,telfairi,Echinops_telfairi,Echinops_telfairi_TENRECIDAE_AFROSORICIDA,NMNH 588477,152.25,Sc,Sc,1,5.025523906590006,3.1576385153970112,3.44265917146975,0.9202827531436925,1.8694918177684072,1.6601310267496185,3.5766901195003595,3.3426851105944873,3.4680769105017,1.3001916620664788,1.871032650122563,3.575430761606357,0.8544153281560676,0.7997569156182036,0.6729444732424258,NA,0.22529581068116405,0.14711229198713466,0.25947521865889217,0.4880466472303208,NA,NA,FALSE
Afrosoricida,Tenrecidae,Echinops,telfairi,Echinops_telfairi,Echinops_telfairi_TENRECIDAE_AFROSORICIDA,NMNH 464980,152.25,Sc,Sc,1,5.025523906590006,2.8160073426073025,2.9647574692545606,0.8285518175661483,1.7448425494403033,1.199964782928397,3.015289772769522,2.767576180416237,2.996232148595642,0.7371640659767196,1.536867219599265,2.976549454137217,0.3220834991691132,1.3056264580524357,0.8712933659434193,NA,0.22614749871067558,0.16278499632262808,0.5418502202643172,0.8928046989720999,NA,NA,FALSE
Carnivora,Ailuridae,Ailurus,fulgens,Ailurus_fulgens,Ailurus_fulgens_AILURIDAE_CARNIVORA,UWBM 82481,5170.08,A,A,1,8.55064344127057,4.273605885719461,4.782144136455451,2.238579763018133,3.3758795736778655,2.5922651681085,4.744149213269543,4.545632473271895,4.853825526471025,2.307572634505085,3.1523085805960878,4.777104649895559,1.9459101490553132,3.091042453358316,2.6905648867611904,NA,0.1837298927613941,0.11626490296753982,0.7071681131468981,1.1809707489553198,NA,NA,FALSE
Carnivora,Viverridae,Arctictis,binturong,Arctictis_binturong,Arctictis_binturong_VIVERRIDAE_CARNIVORA,UWBM 81977,12999.99,A,A,1,9.472703867212608,4.473921899378137,5.000248201209769,2.5079719227189963,3.6176519448255684,2.9678470700644555,4.923551187189142,4.721618998631338,5.006560336054226,2.6026896854443837,3.452524008827496,4.8970185673092885,2.2438960966453663,NA,NA,NA,0.18699898955877403,0.14146483380609498,NA,NA,0.5516406670252825,NA,FALSE
Carnivora,Procyonidae,Bassariscus,astutus,Bassariscus_astutus,Bassariscus_astutus_PROCYONIDAE_CARNIVORA,UWBM 34132,885,A,A,1,6.785587645007929,3.71965111278069,4.130837198581126,1.4398351280479205,2.534490149976828,1.6882490928583902,4.0886617790866024,3.9130225057612296,4.209011637200227,1.7351891177396608,2.534490149976828,4.210199814972569,1.4182774069729414,2.34660197841082,2.1713368063840917,NA,0.17933472601639083,0.09068052296345962,0.4039427908774642,0.7429454967143408,NA,NA,FALSE
Carnivora,Canidae,Canis,lupus,Canis_lupus,Canis_lupus_CANIDAE_CARNIVORA,UWBM 82006,31756.51,T,T,0,10.365853022673218,5.215533405069116,5.429652599378058,2.7960610784249234,3.8575668196320874,3.3690184832979204,5.605287227907102,5.439556478240761,5.518897635459082,2.883682769745368,3.824065726669004,5.55570774325743,2.854744580253014,3.6901286735143684,3.319987326236612,3.353406717825807,0.17674398211075548,0.10685647024203634,0.3799449767574234,0.6423489232520634,0.35004299226139296,0.5959587274290628,FALSE
