catalog,genus_species,Sex,Tail,TotL,mass_g,Fl,Fdw,Fsw,Tl,Tpw,Tmw,Hl,Hdw,Hpw,Hsw,Ul,Uol,Usw,Rl,Mcl,Ppl,Mtl,Pppl,County,Locality Notes,Other Notes,Date,,,,,
UF22809,Podomys_floridanus,,,,29.1,18.52,3.69,1.7,22.22,3.56,1.12,14.57,3.77,3.26,1.19,18.33,1.82,0.53,15.22,4.41,2.58,10.33,3.67,Highlands,Archbold Biologcial Station,,11/1/2025,,,,,
UF22887,Podomys_floridanus,,,,37.5,19.04,3.71,1.76,23.76,3.64,1.24,15.22,3.68,3.21,1.19,19.11,2.29,0.65,15.72,4.49,2.6,10.43,3.77,Highlands,Archbold Biological Station,,11/1/2025,,,,,
UF22855,Podomys_floridanus,,,,42.9,21.48,3.74,1.82,25.88,3.8,1.32,16.04,3.7,3.19,1.2,20.79,2.55,0.76,17.12,4.65,2.83,10.83,3.86,Highlands,Archbold Biological Station,,11/1/2025,,,,,
UF22847,Podomys_floridanus,,,,38.5,20.87,3.76,1.55,24.68,3.65,1.17,15.74,3.64,3.09,1.05,19.85,2.75,0.71,16.21,4.51,2.53,10.34,3.51,Highlands,Archbold Biological Station,,11/1/2025,ImageJ,Mcl=3.61,Ppl=2.39,Mtl=8.53,Pppl=2.84
UF22906,Podomys_floridanus,,,,31.2,19.61,3.67,1.78,23.9,3.51,1.13,15.06,3.61,3.11,1.21,19.12,2.52,0.71,15.86,4.52,2.59,10.76,3.65,Highlands,Archbold Biological Station,,11/1/2025,,Mcl=4.09,Ppl=2.51,Mtl=8.77,Pppl=2.97
UF22873,Podomys_floridanus,,,,32.2,19.21,3.39,1.6,22.62,3.32,1.21,14.34,3.54,3.02,1.07,18.17,2.41,0.61,14.99,4.66,2.54,10.17,3.57,Hiighlands,Archbold Biological Station,,11/4/2025,,Mcl=3.83,Ppl=2.16,Mtl=8.76,Pppl=2.21
UF22860,Podomys_floridanus,,,,31.3,19.26,3.84,1.53,24.03,3.47,1.14,15.01,3.68,3.03,1.03,18.68,2.51,0.59,15.45,4.51,2.52,10.34,3.69,Highlands,Archbold Biological Station,,11/4/2025,,,,,
UF22862,Podomys_floridanus,,,,39.7,22.46,3.73,1.86,25.72,3.83,1.36,16.33,3.86,3.27,1.3,20.21,2.69,0.72,16.72,4.53,2.73,10.7,3.92,Highlands,Archbold Biological Station,,11/4/2025,,,,,
UF22891,Podomys_floridanus,,,,38.1,20.39,3.89,1.74,24.76,3.76,1.14,15.7,3.67,3.13,1.08,18.89,2.64,0.68,15.56,4.78,2.73,11.08,3.89,Highlands,Archbold Biological Station,,11/4/2025,,,,,
UF22904,Podomys_floridanus,,,,46.3,23.53,3.92,1.84,27.11,3.91,1.37,17.32,3.94,3.43,1.18,21.29,2.71,0.71,17.62,4.68,2.83,11.03,4.07,Highlands,Archbold Biological Station,,11/4/2025,,,,,
